Sample	bam_file	reads_aligned	total_alignments	non_unique_alignments	reads_aligned_genes	ambiguous_alignments	not_aligned	5_3_bias	reads_aligned_exonic	reads_aligned_intronic	reads_aligned_intergenic	reads_aligned_overlapping_exon
MON_R0_C1	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/MON_MCapV3/MON_R0_C1_Aligned.sortedByCoord.out.bam	28801183.0	67364674.0	14774692.0	21227009.0	140.0	11172160.0	1.15	21227009.0	13264781.0	17893046.0	6370304.0
MON_R0_C2	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/MON_MCapV3/MON_R0_C2_Aligned.sortedByCoord.out.bam	13161281.0	30456825.0	6242239.0	9547068.0	42.0	5879724.0	1.16	9547068.0	6177072.0	8418130.0	2965131.0
MON_R0_C3	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/MON_MCapV3/MON_R0_C3_Aligned.sortedByCoord.out.bam	14288297.0	33947095.0	7913049.0	10364380.0	82.0	6252537.0	1.17	10364380.0	6772173.0	8723595.0	3150840.0
MON_R0_H1	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/MON_MCapV3/MON_R0_H1_Aligned.sortedByCoord.out.bam	18212918.0	42955329.0	9406120.0	13471086.0	72.0	15456678.0	1.13	13471086.0	7403380.0	12364771.0	3927501.0
MON_R0_H2	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/MON_MCapV3/MON_R0_H2_Aligned.sortedByCoord.out.bam	22887162.0	53676255.0	11836983.0	15526493.0	94.0	20047206.0	1.16	15526493.0	10927218.0	15234927.0	5269780.0
MON_R0_H3	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/MON_MCapV3/MON_R0_H3_Aligned.sortedByCoord.out.bam	14370396.0	33248434.0	6852987.0	10197806.0	26.0	5394763.0	1.19	10197806.0	7170613.0	8953475.0	3180862.0
MON_R120_C1	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/MON_MCapV3/MON_R120_C1_Aligned.sortedByCoord.out.bam	16962039.0	39272094.0	7893215.0	12820762.0	20.0	6661108.0	1.17	12820762.0	7329991.0	11027078.0	3622089.0
MON_R120_C2	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/MON_MCapV3/MON_R120_C2_Aligned.sortedByCoord.out.bam	15292115.0	35621535.0	7331032.0	11583688.0	78.0	6430730.0	1.16	11583688.0	6347657.0	10187328.0	3245696.0
MON_R120_C3	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/MON_MCapV3/MON_R120_C3_Aligned.sortedByCoord.out.bam	18194371.0	42484975.0	9274919.0	13163172.0	94.0	20450963.0	1.26	13163172.0	8369884.0	11626300.0	4033867.0
MON_R120_H1	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/MON_MCapV3/MON_R120_H1_Aligned.sortedByCoord.out.bam	13066324.0	30747999.0	6718099.0	8874356.0	8.0	4884123.0	1.14	8874356.0	6657041.0	8365389.0	2910270.0
