Sample	bam_file	reads_aligned	total_alignments	non_unique_alignments	reads_aligned_genes	ambiguous_alignments	not_aligned	5_3_bias	reads_aligned_exonic	reads_aligned_intronic	reads_aligned_intergenic	reads_aligned_overlapping_exon
MON_R0_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_MCapV3_rRNA_removed/MON_R0_C1_Aligned.sortedByCoord.out.bam	28610145.0	66135473.0	13857138.0	21133201.0	140.0	10414651.0	1.16	21133201.0	13224784.0	17833148.0	6354283.0
MON_R0_C2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_MCapV3_rRNA_removed/MON_R0_C2_Aligned.sortedByCoord.out.bam	13063598.0	29965613.0	5918487.0	9487998.0	42.0	5616140.0	1.16	9487998.0	6146459.0	8377687.0	2954601.0
MON_R0_C3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_MCapV3_rRNA_removed/MON_R0_C3_Aligned.sortedByCoord.out.bam	14124115.0	32856389.0	7067350.0	10321266.0	82.0	5499232.0	1.17	10321266.0	6742051.0	8668030.0	3141698.0
MON_R0_H1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_MCapV3_rRNA_removed/MON_R0_H1_Aligned.sortedByCoord.out.bam	17918767.0	40810677.0	7694177.0	13387167.0	72.0	13859304.0	1.13	13387167.0	7380108.0	12286373.0	3916112.0
MON_R0_H2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_MCapV3_rRNA_removed/MON_R0_H2_Aligned.sortedByCoord.out.bam	22713564.0	52541398.0	10974441.0	15450793.0	94.0	19250652.0	1.16	15450793.0	10885312.0	15162700.0	5255700.0
MON_R0_H3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_MCapV3_rRNA_removed/MON_R0_H3_Aligned.sortedByCoord.out.bam	14289761.0	32896600.0	6644538.0	10146172.0	26.0	5190370.0	1.18	10146172.0	7142300.0	8924282.0	3170933.0
MON_R120_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_MCapV3_rRNA_removed/MON_R120_C1_Aligned.sortedByCoord.out.bam	16758122.0	38064353.0	7035935.0	12711772.0	20.0	5886905.0	1.17	12711772.0	7295165.0	10970993.0	3607202.0
MON_R120_C2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_MCapV3_rRNA_removed/MON_R120_C2_Aligned.sortedByCoord.out.bam	15090525.0	34292480.0	6325954.0	11489819.0	78.0	5620490.0	1.16	11489819.0	6313487.0	10117408.0	3231843.0
MON_R120_C3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_MCapV3_rRNA_removed/MON_R120_C3_Aligned.sortedByCoord.out.bam	18087296.0	42132364.0	9111564.0	13089394.0	94.0	20251141.0	1.26	13089394.0	8322914.0	11568162.0	4020377.0
MON_R120_H1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_MCapV3_rRNA_removed/MON_R120_H1_Aligned.sortedByCoord.out.bam	12952572.0	29943724.0	6097519.0	8837494.0	8.0	4462247.0	1.14	8837494.0	6632873.0	8332058.0	2903132.0
